variable,country,essround,non_neutrality,avg_deviation_from_neutrality,dispersion,moderate_divergence,moderate_group_consensus,moderate_size_parity
imbgeco,Netherlands,2012,0.7404553470821947,0.008168445342269416,0.29591629168265043,0.3925071954843401,0.7448431372117335,0.1362985965829223
imbgeco,Netherlands,2014,0.7297097688839084,0.07434448261965017,0.3081889691158777,0.37715859315891276,0.736121019887203,0.08589963683674709
imbgeco,Netherlands,2016,0.7387620949948606,0.01713346293113336,0.28327485215245674,0.3825372494131337,0.7215919645400737,0.1063913929351217
imbgeco,Netherlands,2018,0.7469990552803415,0.05358551927610105,0.2808326022326822,0.37582816739682,0.753900889233257,0.09759144949935564
imbgeco,Netherlands,2020,0.7630212250070192,0.12554489931302035,0.28951381736975335,0.38419401326796776,0.7469270347279372,0.057949882823409106
imbgeco,Netherlands,2022,0.7933435256693069,0.0953845969200037,0.3117421606642921,0.3938923189555988,0.7535313209879083,0.0703145691461539
imbgeco,Norway,2002,0.7062111054433018,0.07870898152862066,0.2956200625094414,0.39974245633198907,0.7279957974116527,0.17832704152868467
imbgeco,Norway,2008,0.755091154029438,0.029094505939823635,0.3063325450573467,0.41490055607422377,0.724511687938035,0.15589190477092743
imbgeco,Norway,2010,0.7543187118436792,0.01989148096734308,0.29698611240868167,0.4039356287955476,0.7196608730492431,0.14390718120561707
imbgeco,Norway,2012,0.7696346607966023,0.029439210554621023,0.30450569623994916,0.4001982151441677,0.7082347805901568,0.08174807043636627
imbgeco,Norway,2014,0.7640757343481571,0.016037205266818687,0.306904508712796,0.4117321910138433,0.717015923044214,0.17293432232464545
imbgeco,Norway,2016,0.7622603303309973,0.024487631323983374,0.307636509425129,0.4094301505087048,0.7446990527385167,0.13032067342537207
imbgeco,Norway,2018,0.7440523104556784,0.014658626614835413,0.2955289457234726,0.4024480963679298,0.7246293387664304,0.09475423910858186
imbgeco,Norway,2020,0.7781299253986851,0.07206383517110275,0.3003711937829248,0.39585547005424115,0.7162816650673169,0.05179367890396967
imbgeco,Norway,2022,0.779676645832126,0.06866354813158503,0.30408669373429936,0.40216583627456787,0.7028603461000944,0.08939654385821003
imbgeco,Poland,2002,0.6508251876998441,0.10965129413570107,0.33550047802085486,0.4147364069167539,0.7015813667648101,0.11993727818996125
